,jan,feb,march,apr,may,jun,july,aug,sept,oct,Nov,dec,Total,Projected Summer Low,Projected Winter Low,
Revenue,$2800,$2650,$3100,$2950,$3200,$3800,$4100,$4000,$3500,$2900,$2700,$2500,$38200,,
Pet fees,$150,$100,$200,$125,$175,$225,$300,$250,$175,$100,$125,$75,$2000,,
Parents/Friends Stay,,$200,,,$100,,,,$150,,,,$450,,
Mgmt Fees,$280,$265,$310,$295,$320,$380,$410,$400,$350,$290,$270,$250,$3820,,
Yard care X2 a  month,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$960,,
Oceanside Munirevs,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$540,,
Water+water waste (COO),$62,$58,$71,$65,$74,$89,$95,$88,$76,$63,$59,$55,$855,,
City Waste (waste mgmt),$35,$35,$35,$35,$35,$35,$35,$35,$35,$35,$35,$35,$420,,
Internet (7962),$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$960,,
Electricity+ Gas (SDGE),$210,$195,$175,$155,$140,$180,$230,$225,$190,$165,$200,$220,$2285,,
Instacart+Amazon,$45,$30,$55,$40,$60,$75,$90,$85,$65,$35,$40,$25,$645,,
Owner Exp (extra),,$100,,,$200,,,$150,,,$100,,$550,,
Net to owner,$2113,$2062,$2549,$2280,$2641,$3136,$3425,$3225,$2804,$2207,$1996,$1790,$29228,,
Notes,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Avg Total Proceeds/Month,,,,,,,,,,,,,,,,
Months,,,,,,,,,,,,,,,,
